input1,sys11,sys12,sys13,sys14,sys15,sysid11,sysid12,sysid13,sysid14,sysid15,sentid1,input2,sys21,sys22,sys23,sys24,sys25,sysid21,sysid22,sysid23,sysid24,sysid25,sentid2,input3,sys31,sys32,sys33,sys34,sys35,sysid31,sysid32,sysid33,sysid34,sysid35,sentid3,input4,sys41,sys42,sys43,sys44,sys45,sysid41,sysid42,sysid43,sysid44,sysid45,sentid4,input5,sys51,sys52,sys53,sys54,sys55,sysid51,sysid52,sysid53,sysid54,sysid55,sentid5
yes... ..we do ask for... .30 to 60 days....,can't you see that?,i'll be back in a minute,we can't get to the bottom ofthe.,and that's why there are two of us who are not allowed to be here,are you sure you want to do this?,original/iterative_beam_search_bs5_ibs10.json_7,original/random_sampling_temp0.5.json_3,original/random_sampling_temp1.0_top10.json_4,original/random_sampling_temp1.0_top10.json_6,original/random_sampling_temp0.5.json_7,77,you okay?,you're not going anywhere,you ought to be ashamed of yourself,i don't know what to say to you,i'm here to help you,i've got a date,original/clustering_beam_search_bs10_cbs5.json_4,clustered/random_sampling_temp1.0.json_4,original/beam_search_bs10_kpercand3.json_9,clustered/standard_beam_search_bs100_npad0.3.json_2,clustered/random_sampling_temp0.7.json_4,29,do you think they'll walk away?,no i don't think so,they're not going to do that,i don't know what they're talking about,if it's the last time i see you you'll see them?,if it weren't for me they're gonna have to kill them,clustered/beam_search_bs100_kpercand3.json_7,original/random_sampling_temp0.5.json_1,original/clustering_beam_search_bs10_cbs5.json_1,original/random_sampling_temp1.0_top10.json_1,original/random_sampling_temp1.0_top10.json_6,90,"when you get going on those broads, think of me!",i'm sure you'll be all right,what's wrong with you?,and you tell me if you look at the wall me,what are you talking about?,know what i'm saying?,clustered/random_sampling_temp1.0.json_9,clustered/random_sampling_temp0.7.json_5,original/random_sampling_temp0.7.json_9,clustered/standard_beam_search_bs100.json_1,clustered/iterative_beam_search_bs5_ibs100.json_5,81,maybe it went out. should someone check it?,of course it's a?,what are you talking about?,i don't know what's wrong with it,i don't know what you're talkin about,i've never seen anything like it,clustered/iterative_beam_search_bs5_ibs100.json_4,clustered/standard_beam_search_bs100_npad0.3.json_3,original/clustering_beam_search_bs10_cbs5.json_8,original/standard_beam_search_bs10.json_9,clustered/standard_beam_search_bs100.json_6,59
i'm scared shitless.,i don't know what you're talking about,that's why i'm here,i'll be back in a few minutes,i've got to go,i'll take care of you,original/diverse_beam_search_bs10_dbs0.8.json_2,clustered/iterative_beam_search_bs5_ibs100.json_3,original/beam_search_bs10_kpercand3.json_9,clustered/standard_beam_search_bs100_npad0.3.json_6,original/standard_beam_search_bs10.json_5,37,its muscles are locked.,i've got to get out of here!,i've got to get out of here and make sure it doesn't happen any more than you can at least a few minutes,i don't know what to do,i can't believe it!,i've never seen anything like it,original/standard_beam_search_bs10_npad0.3.json_8,clustered/diverse_beam_search_bs100_dbs0.8.json_0,clustered/standard_beam_search_bs100_npad0.3.json_1,clustered/standard_beam_search_bs100_npad0.3.json_5,original/diverse_beam_search_bs10_dbs0.8.json_6,43,tonight turned out to be pretty interesting.,i don't know how to thank you,i've been trying to get you out of here before,i'll be back soon,i don't think there's any doubt,i'm going to the.,clustered/random_sampling_temp0.7.json_1,original/random_sampling_temp0.5.json_7,clustered/diverse_beam_search_bs100_dbs0.8.json_8,original/random_sampling_temp1.0.json_6,clustered/random_sampling_temp1.0_top100.json_0,70,"i'm in a wheelchair, the truck sounds pretty good.",are you sure you're okay?,i don't know what i'm doing,i'll be right there,do you know what i'm talking about?,i've got a lot of work to do but wait till you hear from me and make sure,clustered/standard_beam_search_bs100.json_9,original/beam_search_bs10_kpercand3.json_6,original/diverse_beam_search_bs10_dbs0.8.json_1,clustered/iterative_beam_search_bs5_ibs100.json_7,clustered/diverse_beam_search_bs100_dbs0.8.json_4,65,what did you just say?,why didn't you tell me?,you want to talk about it?,i don't know what you're talking about,what are you talking about?,it says here d'a? ferrari,clustered/beam_search_bs100_kpercand3.json_3,clustered/random_sampling_temp0.5.json_2,original/diverse_beam_search_bs10_dbs0.8.json_1,clustered/standard_beam_search_bs100.json_3,original/random_sampling_temp1.0.json_8,18
he thinks people *like* to get whacked by branches.,is that what you want?,i don't know what you're talking about,of course he's a.,he's not gonna believe it,and he's got a good idea,original/iterative_beam_search_bs5_ibs10.json_5,original/standard_beam_search_bs10.json_0,original/iterative_beam_search_bs5_ibs10.json_9,clustered/random_sampling_temp0.7.json_1,original/random_sampling_temp1.0_top10.json_3,62,ssh. i'm on a stakeout.,i don't know what to do,i'm not a.!,i'm a better part of this,you've got to be kidding me,i've got to get out of here before it gets dark,clustered/clustering_beam_search_bs100_cbs5.json_0,clustered/random_sampling_temp0.7.json_6,original/random_sampling_temp0.7.json_6,original/random_sampling_temp0.5.json_0,clustered/diverse_beam_search_bs100_dbs0.8.json_1,67,they've taken your clothes?,they don't even wear a hat,i've never seen them before,excuse me but i don't know,no radioactive stuff with cocktail bags or a brand new clothes!,why didn't you tell me?,original/random_sampling_temp1.0_top10.json_8,original/diverse_beam_search_bs10_dbs0.8.json_2,clustered/iterative_beam_search_bs5_ibs100.json_3,original/random_sampling_temp1.0.json_0,clustered/standard_beam_search_bs100_npad0.3.json_2,16,i told you the facts! he abandoned us -- those are the facts.,how did you get here?,no although we might be lost to a nice little white man to be,that's why we're here,i don't believe it!,i don't know what you're saying,original/random_sampling_temp0.7.json_7,original/random_sampling_temp1.0.json_5,clustered/beam_search_bs100_kpercand3.json_5,clustered/standard_beam_search_bs100_npad0.3.json_1,original/diverse_beam_search_bs10_dbs0.8.json_4,97,tell me your name.,why don't you tell me?,i don't want to know,i don't want to hear it,i'm a thief for an animal,i'll tell you what's wrong with my name ma'a m the new york times,clustered/beam_search_bs100_kpercand3.json_7,clustered/standard_beam_search_bs100_npad0.3.json_7,original/clustering_beam_search_bs10_cbs5.json_6,clustered/random_sampling_temp1.0.json_0,clustered/diverse_beam_search_bs100_dbs0.8.json_9,19
does he have the marked bills on him?,no he hasn't done it,does he have any money?,i don't know what he's talking about,yes but he's not here,i've never seen him before,original/random_sampling_temp0.7.json_4,clustered/iterative_beam_search_bs5_ibs100.json_0,original/diverse_beam_search_bs10_dbs0.8.json_4,original/iterative_beam_search_bs5_ibs10.json_1,original/clustering_beam_search_bs10_cbs5.json_4,69,"you ain't gettin 'in no trouble, i hope.",i'm going to show ya something,i don't want to hear it,that's right and i ain't the only one,i don't know what you mean,i ain't got no money,original/random_sampling_temp0.7.json_9,original/standard_beam_search_bs10_npad0.3.json_8,original/random_sampling_temp1.0_top10.json_7,original/beam_search_bs10_kpercand3.json_6,original/standard_beam_search_bs10.json_3,63,what are you crying for?,what are you doing here?,i don't know what's going on,you're not going anywhere,what do you want from me?,would you like a drink?,original/standard_beam_search_bs10.json_0,original/standard_beam_search_bs10_npad0.3.json_5,original/clustering_beam_search_bs10_cbs5.json_3,clustered/clustering_beam_search_bs100_cbs5.json_8,clustered/iterative_beam_search_bs5_ibs100.json_3,48,are you alright?,i'll take care of you,i'll be back in a minute,i'll be all right,what are you doing here?,i didn't mean to hurt you,original/standard_beam_search_bs10.json_7,original/beam_search_bs10_kpercand3.json_7,clustered/standard_beam_search_bs100_npad0.3.json_0,original/clustering_beam_search_bs10_cbs5.json_0,clustered/standard_beam_search_bs100_npad0.3.json_8,30,make a right. you can't miss it.,you're not going anywhere,where did you get it?,i'm not gonna let you let me out of here,you're a good girl,no one wants to hurt you,clustered/standard_beam_search_bs100.json_9,original/iterative_beam_search_bs5_ibs10.json_7,original/random_sampling_temp0.5.json_6,original/random_sampling_temp0.5.json_5,original/random_sampling_temp0.7.json_1,89
why the hell are we wasting time here?!,we're not going anywhere!,i got a! in my head,i'll tell you what i'm gonna do!,you can't force me to kill you!,it's been a long time,original/diverse_beam_search_bs10_dbs0.8.json_2,original/random_sampling_temp0.7.json_2,original/random_sampling_temp0.7.json_3,original/random_sampling_temp0.5.json_4,clustered/clustering_beam_search_bs100_cbs5.json_8,93,are you frightened?,i haven't seen you long,i'm in the middle of nowhere,what are you going to do?,i don't know what you're talking about,what's the matter with you?,clustered/random_sampling_temp1.0.json_7,clustered/random_sampling_temp1.0_top100.json_7,clustered/beam_search_bs100_kpercand3.json_6,clustered/random_sampling_temp0.7.json_1,clustered/beam_search_bs100_kpercand3.json_9,22,did you call?,i don't believe it!,i don't know what to say,i called him from your office,no i don't think so,i go to the market with my husband,clustered/standard_beam_search_bs100.json_5,clustered/standard_beam_search_bs100_npad0.3.json_1,original/random_sampling_temp0.7.json_8,clustered/random_sampling_temp1.0.json_6,original/random_sampling_temp0.7.json_3,13,how did it go today?,are you going to tell me?,i don't know what to say,i'm just going to look for this bottle of wine,i don't know what to say,a colleague of mine is in with the publisher,original/iterative_beam_search_bs5_ibs10.json_4,original/beam_search_bs10_kpercand3.json_2,original/random_sampling_temp0.7.json_9,clustered/iterative_beam_search_bs5_ibs100.json_0,original/random_sampling_temp1.0.json_4,53,shall we unpack it?,no you're just kidding me,i'll toss it instead!,i'll have it for the rest of my life,i'll be right back,i'd like a cup of coffee,original/random_sampling_temp1.0_top10.json_8,original/random_sampling_temp1.0.json_1,clustered/random_sampling_temp1.0_top100.json_4,original/diverse_beam_search_bs10_dbs0.8.json_1,clustered/random_sampling_temp0.7.json_9,49
it's okay.,call me if you need anything,what's the matter with you?,it's someone else's fault,i don't know what to say,i'm so glad to see you too,clustered/iterative_beam_search_bs5_ibs100.json_5,clustered/random_sampling_temp0.7.json_7,original/random_sampling_temp1.0.json_2,original/beam_search_bs10_kpercand3.json_6,clustered/random_sampling_temp1.0_top100.json_3,0,i'm really not that hungry.,i don't know if i can,i've got a lot of work,they're not gonna make it,and then i get the money,i'm not so sure about that,original/standard_beam_search_bs10_npad0.3.json_7,original/diverse_beam_search_bs10_dbs0.8.json_7,clustered/iterative_beam_search_bs5_ibs100.json_2,original/random_sampling_temp1.0_top10.json_8,clustered/random_sampling_temp0.5.json_1,94,you really got a masters degree?,how do you know that?,i'm not a good actor,i'm not a?!,i've never seen anything like it,you're a?!,original/iterative_beam_search_bs5_ibs10.json_2,original/random_sampling_temp0.5.json_1,original/random_sampling_temp0.7.json_9,clustered/beam_search_bs100_kpercand3.json_5,clustered/random_sampling_temp0.5.json_2,98,what will you do?,i don't know what to say,i don't think about it,i'll go to the hospital,i don't know what to say,i'll be back in a minute,original/standard_beam_search_bs10_npad0.3.json_3,original/random_sampling_temp1.0.json_6,original/random_sampling_temp0.5.json_9,original/beam_search_bs10_kpercand3.json_5,original/diverse_beam_search_bs10_dbs0.8.json_3,9,now i think we really do understand one another.,i don't know what you're talking about but you're not,i've never seen anything like it,and it's not a profession it's a bomb,i don't think we're going to have a problem with that,i think we can take them out,original/diverse_beam_search_bs10_dbs0.8.json_7,clustered/clustering_beam_search_bs100_cbs5.json_8,original/random_sampling_temp0.7.json_0,clustered/diverse_beam_search_bs100_dbs0.8.json_4,original/random_sampling_temp1.0_top10.json_8,64
go ahead to the saloon. but don't get too drunk!,you know how to use a gun?,let's get out of here!,i'll take care of you,i'll take care of this,of course i won't!,clustered/random_sampling_temp0.5.json_6,original/iterative_beam_search_bs5_ibs10.json_3,original/standard_beam_search_bs10_npad0.3.json_4,original/standard_beam_search_bs10.json_6,clustered/random_sampling_temp1.0.json_6,56,you're kidding.,as a matter of fact i do,i'm not sure that it's a good idea,it's the best thing i've ever done,you got a lot of nerve,you've got to be kidding me,clustered/iterative_beam_search_bs5_ibs100.json_6,original/random_sampling_temp0.7.json_3,clustered/random_sampling_temp0.5.json_7,clustered/random_sampling_temp0.5.json_8,original/standard_beam_search_bs10_npad0.3.json_7,7,he wants the money.,i don't know what to do,i don't know what you're doing,i've got to go,he doesn't want to know,he's trying to help you,original/standard_beam_search_bs10.json_5,original/clustering_beam_search_bs10_cbs5.json_9,clustered/clustering_beam_search_bs100_cbs5.json_5,clustered/standard_beam_search_bs100.json_8,clustered/random_sampling_temp1.0.json_1,17,poor father...,i've never seen such a thing,i'll take care of that,you don't have to worry,how do we do that?,you can get me into london,original/clustering_beam_search_bs10_cbs5.json_9,original/standard_beam_search_bs10.json_3,clustered/clustering_beam_search_bs100_cbs5.json_8,original/random_sampling_temp1.0_top10.json_7,original/random_sampling_temp1.0.json_5,36,bring down the money or your friend's dead!,i'll take care of him,ah this quiet herb is just like dead street!,i'll take care of it,get out of the way!,give me the fucking money!,clustered/diverse_beam_search_bs100_dbs0.8.json_4,original/random_sampling_temp1.0.json_8,original/clustering_beam_search_bs10_cbs5.json_4,clustered/iterative_beam_search_bs5_ibs100.json_5,clustered/iterative_beam_search_bs5_ibs100.json_0,92
"bravo, your majesty!",i'll take care of you,come on let's go!,i'll go with you,i'll take care of it,i'm here to see mr!!,original/standard_beam_search_bs10.json_2,clustered/standard_beam_search_bs100.json_7,clustered/standard_beam_search_bs100_npad0.3.json_2,original/standard_beam_search_bs10.json_0,original/random_sampling_temp0.7.json_0,2,aren't you coming?,i was just waiting for you here,you can't do that to me?,i'll be right back,aren't you going to go?,i don't want to go,original/random_sampling_temp0.7.json_4,original/random_sampling_temp1.0_top10.json_2,clustered/random_sampling_temp0.5.json_8,original/iterative_beam_search_bs5_ibs10.json_8,original/standard_beam_search_bs10.json_4,4,"honey, we can be happy and poor together.",i want you to be happy,what's wrong with you?,we'll have to get doesn't he?,i'll take care of you,i don't know what to say,clustered/clustering_beam_search_bs100_cbs5.json_0,clustered/iterative_beam_search_bs5_ibs100.json_8,clustered/random_sampling_temp1.0.json_3,original/standard_beam_search_bs10_npad0.3.json_3,original/beam_search_bs10_kpercand3.json_0,86,well i was right. you are a sentimentalist.,can't you see that?,but i'm not going to do it!,i'll be right back,i don't think so sir,and i'm a..,original/iterative_beam_search_bs5_ibs10.json_7,original/random_sampling_temp1.0_top10.json_9,clustered/standard_beam_search_bs100_npad0.3.json_1,clustered/random_sampling_temp1.0_top100.json_2,clustered/random_sampling_temp1.0_top100.json_3,61,where are you?,i've got to go,what do you want to do?,i've been waiting for you to come back and find me a place where we can meet each other,do you know where i am?,we're waiting for you,original/standard_beam_search_bs10.json_3,clustered/standard_beam_search_bs100_npad0.3.json_9,clustered/diverse_beam_search_bs100_dbs0.8.json_3,original/random_sampling_temp0.7.json_7,clustered/standard_beam_search_bs100_npad0.3.json_4,12
who invited you?,i'll be right back,i've been waiting for you to come back in five minutes and haven't seen anything yet,he terry maria never existed but a second ago,i'm so glad you're here,i don't know what to say,clustered/standard_beam_search_bs100.json_8,clustered/diverse_beam_search_bs100_dbs0.8.json_1,original/random_sampling_temp1.0.json_1,clustered/standard_beam_search_bs100.json_5,original/beam_search_bs10_kpercand3.json_4,14,tonight turned out to be pretty interesting.,it's a happy journey isn't it?,what's it gonna be?,i'll be back in a few minutes,i've never seen anything like this before,i'll be right back,clustered/random_sampling_temp1.0.json_3,original/random_sampling_temp1.0.json_7,original/beam_search_bs10_kpercand3.json_4,original/diverse_beam_search_bs10_dbs0.8.json_7,clustered/clustering_beam_search_bs100_cbs5.json_0,70,do you really know superman?,i've never seen him before,i know you're?,i'll tell you what,he's an old friend of mine,should i call the police?,original/iterative_beam_search_bs5_ibs10.json_0,clustered/random_sampling_temp1.0_top100.json_3,original/standard_beam_search_bs10.json_1,clustered/random_sampling_temp1.0_top100.json_4,clustered/iterative_beam_search_bs5_ibs100.json_9,52,"c'mon, i need to talk to you. just the two of us.",i'll be right back,i don't know what to say,i don't know what you're thinking,i'll give you a hand,i'm sorry i can't help you,original/standard_beam_search_bs10_npad0.3.json_0,original/beam_search_bs10_kpercand3.json_2,original/standard_beam_search_bs10.json_9,original/standard_beam_search_bs10_npad0.3.json_6,clustered/random_sampling_temp0.7.json_5,82,are you sure you even packed it?,i've never seen anything like this,i guess i got it here i got it back,i don't know what to say,i'm sure it's a very good one,can't you see that?,original/standard_beam_search_bs10_npad0.3.json_4,original/random_sampling_temp1.0.json_7,clustered/beam_search_bs100_kpercand3.json_1,original/random_sampling_temp1.0_top10.json_2,original/iterative_beam_search_bs5_ibs10.json_4,58
poor father...,i'll take care of it,i'll take care of that,i don't know what to do,i'm going to put my hands on the table,i've got a. of the..,clustered/standard_beam_search_bs100_npad0.3.json_0,original/diverse_beam_search_bs10_dbs0.8.json_5,original/standard_beam_search_bs10_npad0.3.json_3,original/random_sampling_temp0.5.json_4,original/random_sampling_temp0.5.json_0,36,that's coming along well!,i don't know what to say,can't you see that?,get out of the way!,i'll take care of that,i've got to get out of here,clustered/standard_beam_search_bs100_npad0.3.json_4,original/iterative_beam_search_bs5_ibs10.json_6,clustered/standard_beam_search_bs100_npad0.3.json_8,original/standard_beam_search_bs10.json_6,original/diverse_beam_search_bs10_dbs0.8.json_5,35,are you frightened?,i want to show you something,i've been waiting for you,i don't want to die,i don't want to see you,that's why i'm here,clustered/random_sampling_temp0.5.json_8,clustered/beam_search_bs100_kpercand3.json_0,original/standard_beam_search_bs10_npad0.3.json_2,original/standard_beam_search_bs10.json_8,clustered/random_sampling_temp0.5.json_9,22,go ahead to the saloon. but don't get too drunk!,i didn't go with going a tank!,i'll take care of you!,what about the rest of us?,i've got to go!,you can't get out!,original/random_sampling_temp1.0.json_1,original/beam_search_bs10_kpercand3.json_5,clustered/random_sampling_temp1.0_top100.json_0,clustered/beam_search_bs100_kpercand3.json_5,original/random_sampling_temp1.0_top10.json_1,56,tell me your name.,i'll tell you what i'll do,i'll tell you what,talk to me like that!,you're a good man,i'll tell you what i'll do,original/beam_search_bs10_kpercand3.json_4,original/clustering_beam_search_bs10_cbs5.json_1,clustered/iterative_beam_search_bs5_ibs100.json_9,clustered/random_sampling_temp0.7.json_2,original/standard_beam_search_bs10.json_4,19
i almost thought for a second...,i... l be right there,i thought it was the...,i... e never seen anything like this before in my life but it doesn't matter,i... l be back in a minute,i don't know what to say,original/diverse_beam_search_bs10_dbs0.8.json_1,clustered/random_sampling_temp0.7.json_2,clustered/diverse_beam_search_bs100_dbs0.8.json_6,original/clustering_beam_search_bs10_cbs5.json_3,original/random_sampling_temp1.0_top10.json_8,78,this thing's going nowhere.,get out of the way!,lt. l be all right,it explains what you're doing,you have to take care of going,everything's going to be all right,original/iterative_beam_search_bs5_ibs10.json_5,clustered/iterative_beam_search_bs5_ibs100.json_5,clustered/random_sampling_temp1.0.json_5,clustered/random_sampling_temp1.0.json_6,clustered/iterative_beam_search_bs5_ibs100.json_2,38,he was... taken.,i don't know what you're talking about,why didn't you tell me?,i don't know what you're talking about,i don't know what you're doing,the first man who had a gun was killed,original/standard_beam_search_bs10.json_0,clustered/standard_beam_search_bs100.json_1,original/diverse_beam_search_bs10_dbs0.8.json_0,original/clustering_beam_search_bs10_cbs5.json_9,original/random_sampling_temp1.0_top10.json_9,24,why are you working today?,you've got to be kidding,do you want to go?,i've been waiting for you to come and visit me at 8 00 p m,you must be here too soon,we'll find out soon enough,clustered/random_sampling_temp0.7.json_6,original/iterative_beam_search_bs5_ibs10.json_2,clustered/diverse_beam_search_bs100_dbs0.8.json_2,clustered/random_sampling_temp1.0.json_3,original/random_sampling_temp1.0_top10.json_2,25,well i was right. you are a sentimentalist.,i'm just trying to help,i just want you to know that,and i'm not a.,it's not my fault!,you know what it is?,original/random_sampling_temp0.5.json_4,clustered/random_sampling_temp0.7.json_3,clustered/random_sampling_temp0.7.json_5,clustered/random_sampling_temp1.0_top100.json_5,clustered/random_sampling_temp1.0_top100.json_1,61
i've lost interest.,i've never seen anything like this before!,i don't know what you're talking about but you're not,i've never seen anything like it,i've never seen anything like it,i've got to go,clustered/diverse_beam_search_bs100_dbs0.8.json_2,original/diverse_beam_search_bs10_dbs0.8.json_9,clustered/beam_search_bs100_kpercand3.json_3,original/clustering_beam_search_bs10_cbs5.json_3,clustered/standard_beam_search_bs100.json_8,47,"you ain't gettin 'in no trouble, i hope.",i don't know what you're talkin about,i don't know what you're talking about,i ain't mad at you,i don't want any trouble,i don't know what to do,original/beam_search_bs10_kpercand3.json_5,original/clustering_beam_search_bs10_cbs5.json_2,clustered/random_sampling_temp0.7.json_9,clustered/standard_beam_search_bs100.json_4,clustered/standard_beam_search_bs100_npad0.3.json_1,63,are you alright?,i don't know what to say,you're not going anywhere,i'll take care of it,i don't know what you're saying,i'll take you to the hospital,clustered/beam_search_bs100_kpercand3.json_6,clustered/standard_beam_search_bs100.json_3,clustered/beam_search_bs100_kpercand3.json_5,original/diverse_beam_search_bs10_dbs0.8.json_9,original/standard_beam_search_bs10_npad0.3.json_9,30,maybe you inspire me.,in fact i'm a real witch,so you're a.?,i told you i ain't doin you,i'm a bit of a.,that's why i'm here,original/random_sampling_temp1.0.json_7,original/random_sampling_temp0.7.json_8,clustered/random_sampling_temp1.0.json_9,original/random_sampling_temp1.0_top10.json_6,clustered/clustering_beam_search_bs100_cbs5.json_9,27,"when you get going on those broads, think of me!",i'll take care of it,they're going to get me,if grub gets this happiness paid for,i'll take care of it,why don't you come with me?,clustered/standard_beam_search_bs100.json_2,clustered/random_sampling_temp1.0_top100.json_3,original/random_sampling_temp1.0.json_6,clustered/diverse_beam_search_bs100_dbs0.8.json_2,original/iterative_beam_search_bs5_ibs10.json_3,81
it's okay.,ma'a m i'm sorry,i don't know what's going on here,why don't you take a look?,i've got a lot of work to do,i'm going to take the.,clustered/iterative_beam_search_bs5_ibs100.json_8,original/standard_beam_search_bs10_npad0.3.json_6,original/iterative_beam_search_bs5_ibs10.json_2,clustered/diverse_beam_search_bs100_dbs0.8.json_3,clustered/random_sampling_temp1.0_top100.json_6,0,"honey, we can be happy and poor together.",i've got to go,i'm not a good man,i've got to go,you don't have to worry,i'll take care of it right away ma'a m a few days ago you didn't even know me well enough to say good bye!,original/diverse_beam_search_bs10_dbs0.8.json_2,clustered/random_sampling_temp0.7.json_3,clustered/iterative_beam_search_bs5_ibs100.json_0,clustered/clustering_beam_search_bs100_cbs5.json_5,clustered/diverse_beam_search_bs100_dbs0.8.json_7,86,i'm scared shitless.,i'll cut your throat,i'll kill you!,get out of the way!,i'll tell you what,you're a good man,original/random_sampling_temp0.5.json_7,clustered/standard_beam_search_bs100.json_4,original/iterative_beam_search_bs5_ibs10.json_8,clustered/clustering_beam_search_bs100_cbs5.json_3,clustered/random_sampling_temp0.5.json_4,37,you know where he lives?,i don't know but he's got a lot of work to do and we've gotta find him before it gets too late so far away from the house where nobody knows his name!,i don't know but he's got a lot of money,i don't know where he is,i don't know what to say,what did he tell you?,clustered/diverse_beam_search_bs100_dbs0.8.json_8,clustered/diverse_beam_search_bs100_dbs0.8.json_5,clustered/random_sampling_temp0.5.json_1,clustered/standard_beam_search_bs100.json_1,clustered/random_sampling_temp1.0_top100.json_7,39,good luck.,i've never seen anything like this before,do you have a minute?,that's s o c too,i've got to get out of here,i've never seen anything like this in my life,original/diverse_beam_search_bs10_dbs0.8.json_5,clustered/random_sampling_temp0.7.json_8,clustered/random_sampling_temp1.0.json_9,original/clustering_beam_search_bs10_cbs5.json_9,original/diverse_beam_search_bs10_dbs0.8.json_8,31
you're the guys from the movie!,you're not the only one,i don't know what you're saying,i've never seen you before,you're the only one who can help me,what are you talking about?,clustered/diverse_beam_search_bs100_dbs0.8.json_7,original/standard_beam_search_bs10_npad0.3.json_8,original/standard_beam_search_bs10_npad0.3.json_5,original/diverse_beam_search_bs10_dbs0.8.json_2,clustered/random_sampling_temp1.0_top100.json_3,87,it might be an interesting case.,don't worry i'll get it,the cooperative journal on the passenger. pro freeman records privileges,i don't know what to say,i don't know what you're talking about,let's get out of here,original/iterative_beam_search_bs5_ibs10.json_7,original/random_sampling_temp1.0.json_7,clustered/standard_beam_search_bs100.json_1,clustered/beam_search_bs100_kpercand3.json_9,clustered/iterative_beam_search_bs5_ibs100.json_8,83,my wife wasn't diabetic.,i'll take care of her,i've never seen anything like it,the. sure's back in room oliver,i was in the hospital to see if she could get a couple of.,my wife and my sister. were born drunk years ago,clustered/random_sampling_temp1.0_top100.json_4,clustered/standard_beam_search_bs100_npad0.3.json_6,original/random_sampling_temp1.0.json_2,original/random_sampling_temp0.5.json_0,original/random_sampling_temp1.0.json_0,42,it's okay. it's alright.,yes i'll be right back,you can't go in there,i'll be right back,i'll take care of it,i'll kill you!,original/iterative_beam_search_bs5_ibs10.json_9,clustered/random_sampling_temp1.0_top100.json_3,clustered/standard_beam_search_bs100_npad0.3.json_2,original/standard_beam_search_bs10_npad0.3.json_1,clustered/random_sampling_temp1.0.json_5,76,how far have you gotten?,i've been looking for you all day,i've seen you before,you'd be left right?,how does your husband feel?,you don't have a choice,original/clustering_beam_search_bs10_cbs5.json_6,clustered/random_sampling_temp1.0.json_6,clustered/random_sampling_temp1.0.json_1,clustered/random_sampling_temp1.0.json_5,clustered/random_sampling_temp0.7.json_2,15
"bravo, your majesty!",it's tanner's decision!,i'll take care of it,take it to the judge please,what do you want to know?,have you come to the right place?,clustered/random_sampling_temp1.0.json_6,clustered/diverse_beam_search_bs100_dbs0.8.json_3,original/random_sampling_temp0.7.json_6,original/random_sampling_temp0.7.json_1,clustered/random_sampling_temp0.7.json_4,2,aren't you coming?,i've had a lot of experience already,i'm? you from coming,excuse me i have to go,you're going to be all right,i'm going to get some rest,clustered/random_sampling_temp1.0.json_0,original/random_sampling_temp0.7.json_3,clustered/iterative_beam_search_bs5_ibs100.json_5,original/random_sampling_temp0.7.json_0,clustered/random_sampling_temp0.5.json_6,4,he thinks people *like* to get whacked by branches.,he's gonna give me a hand,why didn't you tell me this before?,i don't know what to say,he'll be all right,i've got to go,original/random_sampling_temp0.7.json_0,clustered/random_sampling_temp1.0.json_3,clustered/clustering_beam_search_bs100_cbs5.json_6,clustered/standard_beam_search_bs100_npad0.3.json_7,clustered/standard_beam_search_bs100_npad0.3.json_6,62,when do we go?,i don't want to go,i'll be right there,i'll be back in a few minutes and then we're going to have dinner together at 8 00,where else do we want to go?,we're not going anywhere,original/standard_beam_search_bs10_npad0.3.json_2,original/standard_beam_search_bs10.json_1,clustered/diverse_beam_search_bs100_dbs0.8.json_1,clustered/random_sampling_temp1.0.json_6,clustered/beam_search_bs100_kpercand3.json_5,32,what did you just say?,what are you talking about?,i'm sorry i didn't mean to,i don't want to talk about it,where did you get this?,i said i'm sorry!,original/clustering_beam_search_bs10_cbs5.json_0,original/beam_search_bs10_kpercand3.json_9,clustered/standard_beam_search_bs100_npad0.3.json_5,original/iterative_beam_search_bs5_ibs10.json_8,clustered/clustering_beam_search_bs100_cbs5.json_6,18
